name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
21,2014,450000,145500,2,1,0,1,23.4,1248,74.0,5.0
28,2014,370000,120000,2,1,0,2,21.14,1498,103.52,5.0
11,2006,158000,140000,1,1,0,3,17.7,1497,78.0,5.0
12,2010,225000,127000,2,1,0,1,23.0,1396,90.0,5.0
21,2007,130000,120000,1,1,0,1,16.1,1298,88.2,5.0
12,2017,440000,45000,1,1,0,1,20.14,1197,81.86,5.0
21,2007,96000,175000,4,1,0,1,17.3,1061,57.5,5.0
21,2001,45000,5000,1,1,0,2,16.1,796,37.0,4.0
30,2011,350000,90000,2,1,0,1,23.59,1364,67.1,5.0
10,2013,200000,169000,2,1,0,1,20.0,1399,68.1,5.0
27,2014,500000,68000,2,1,0,2,19.01,1461,108.45,5.0
21,2005,92000,100000,1,1,0,2,17.3,993,60.0,5.0
21,2009,280000,140000,2,1,0,2,19.3,1248,73.9,5.0
21,2009,180000,90000,1,1,0,2,18.9,1061,67.0,5.0
20,2016,400000,40000,1,1,0,1,18.15,1198,82.0,5.0
21,2016,778000,70000,2,1,0,2,24.52,1248,88.5,7.0
12,2012,500000,53000,2,1,0,2,23.0,1396,90.0,5.0
21,2002,150000,80000,1,1,0,2,19.7,796,46.3,5.0
12,2016,680000,100000,2,1,0,1,22.54,1396,88.73,5.0
20,2011,174000,100000,2,1,0,2,21.0,1461,64.1,5.0
11,2017,950000,50000,2,1,0,1,25.5,1498,98.6,5.0
21,2015,525000,40000,2,1,0,1,26.59,1248,74.0,5.0
21,2012,600000,72000,2,1,0,1,21.5,1248,88.8,5.0
29,2018,500000,35000,1,1,0,1,20.3,1199,83.81,5.0
21,2016,575000,45000,1,1,0,1,21.4,1197,83.1,5.0
21,2017,275000,28000,1,1,0,1,24.7,796,47.3,5.0
5,2013,300000,70000,2,1,0,1,18.2,1248,73.8,7.0
21,2009,220000,120000,1,1,0,1,18.9,1061,67.0,5.0
21,2018,254999,25000,1,1,0,1,16.8,796,34.2,8.0
21,2017,670000,70000,2,1,0,1,24.3,1248,88.5,5.0
21,2012,150000,35000,1,1,0,2,14.0,796,35.0,5.0
12,2018,730000,2388,1,1,0,1,18.6,1197,81.83,5.0
21,2017,650000,16200,2,1,0,1,24.3,1248,88.5,5.0
21,2019,330000,10000,3,1,0,2,33.44,796,40.3,4.0
21,2019,366000,15000,1,1,0,1,23.95,998,67.1,5.0
12,2019,1149000,5000,1,1,0,1,17.0,1591,121.3,5.0
7,2016,150000,42000,1,1,0,1,20.63,1198,67.0,5.0
29,2011,425000,60000,2,1,0,2,13.93,2179,138.03,7.0
21,2012,150000,76000,1,1,0,1,16.1,796,37.0,4.0
15,2019,2100000,5000,1,1,1,1,16.0,1368,160.77,5.0
11,2018,925000,28900,1,2,0,1,17.8,1497,117.3,5.0
11,2013,425000,86300,1,2,0,1,16.8,1497,116.3,5.0
21,2018,675000,23300,1,2,1,1,18.5,1197,83.14,5.0
21,2018,819999,32600,2,2,0,1,24.3,1248,88.5,5.0
21,2018,390000,10300,1,2,0,1,23.95,998,67.05,5.0
30,2014,1500000,77000,2,2,0,1,12.55,2982,168.5,7.0
30,2013,700000,99000,2,2,0,1,12.99,2494,100.0,7.0
